driverId,points,position,positionText,wins
farina,30,1,1,3
fangio,27,2,2,3
fagioli,24,3,3,0
rosier,13,4,4,0
ascari,11,5,5,0
parsons,9,6,6,1
holland,6,7,7,0
bira,5,8,8,0
whitehead,4,9,9,0
chiron,4,10,10,0
reg_parnell,4,11,11,0
rose,4,12,12,0
serafini,3,13,13,0
cabantous,3,14,14,0
sommer,3,15,15,0
manzon,3,16,16,0
green,3,17,17,0
etancelin,3,18,18,0
bonetto,2,19,19,0
chaboud,1,20,20,0
bettenhausen,1,21,21,0
chitwood,1,22,22,0
graffenried,0,23,23,0
gerard,0,24,24,0
villoresi,0,25,25,0
pozzi,0,26,26,0
wallard,0,27,27,0
claes,0,28,28,0
levegh,0,29,29,0
harrison,0,30,30,0
